ime,gorovje,visina,geografska_sirina,geografska_dolzina,vrsta,st_ogledov,priljubljenost,mesto,st_poti,st_gsp_sledi,opis
Poldanovec,"Goriško, Notranjsko in Snežniško hribovje", 1299,"46,00953°N","13,83299°E", vrh, 445134, 84% ,439. mesto,2,1,"Poldanovec se nahaja v Govcih, na severnem robu Trnovske planote. Govci se strmo dvigajo nad dolino Gorenje Trebuše. Poldanovec ni najvišja točka, temveč nudi najlepši razgled proti severu. Obkrožajo ga Mojski vrh, Veliki Bukovec in Veliki Češevik, pod njim pa se spušča kotanja Mojske Drage."

Goteniški Snežnik,"Goriško, Notranjsko in Snežniško hribovje", 1289,"45,59193°N","14,73624°E", vrh, 365280, 73% ,738. mesto,2,0,"Goteniški Snežnik je s 1289m najvišji vrh Goteniške gore. Ker vrh prerašča gozd, je razgled z njega precej okrnjen. Vrh ima vpisno skrinjico in žig."

Srednja gora (Hrušica),"Goriško, Notranjsko in Snežniško hribovje", 1275,"45,8712°N","14,07192°E", vrh, 261244, 58% ,1136. mesto,2,0,"Srednja gora je 1275 m visok vrh, ki se nahaja v osrednjem delu gozdnate Hrušice. Vrh je poraščen z gozdom, se nam le nekaj minut hoje od vrha (v smeri od vrha proti vzhodu) odpre lep razgled proti Nanosu in hribovju Notranjske."

Veliki Javornik (Javorniki),"Goriško, Notranjsko in Snežniško hribovje", 1268,"45,758°N","14,29508°E", vrh, 493417, 90% ,279. mesto,3,0,"Veliki Javornik je 1268 metrov visok vrh gozdnatega hribovja imenovanega Javorniki. Prostrani gozdovi Javornikov se razprostirajo od Postojne do Cerkniškega polja. V gozdovih Javornikov prebiva veliko vrst ptic in drugih divjih živali kot so medved, volk in ris. <br> Na vrhu Velikega Javornika stoji manjša hiška radiokluba Proteis iz Postojne."

Streliški vrh (Hrušica),"Goriško, Notranjsko in Snežniško hribovje", 1266,"45,87302°N","14,08718°E", vrh, 290220, 62% ,1025. mesto,2,0,"Streliški vrh je 1266 m visoka gora, ki se nahaja v osrednjem delu gozdnate Hrušice. Z vrha, ki je deloma porasel z gozdom, se nam odpre lep pogled le proti severu, kjer ob lepem vremenu razgled seže vse do najvišjih vrhov Julijskih Alp ter deloma Karavank."

Iztokova koča pod Golaki,"Goriško, Notranjsko in Snežniško hribovje", 1260,"45,97585°N","13,85397°E", koča, 478036, 88% ,327. mesto,3,0,"Iztokova koča se nahaja sredi gozda pod vrhom 1495 m visokega Malega Golaka. Koča mimo katere vodi slovenska planinska pot je odprta ob vikendih, v juliju in avgustu pa tudi še ob petkih."

Turn,"Goriško, Notranjsko in Snežniško hribovje", 1254,"45,68736°N","14,70814°E", vrh, 269077, 59% ,1107. mesto,1,0,"Turn je s 1254 m najvišji vrh 14 km dolge Velike gore, planote, ki se dviga med Ribniškim poljem in Liškim Potokom. Z vrha, ki ima žig in vpisno skrinjico, se nam kljub delni poraščenosti odpre lep razgled na Snežnik, notranjske gozdove ter ob lepem vremenu Julijske in Kamniško Savinjske Alpe."

Kuk (Kolovrat),"Goriško, Notranjsko in Snežniško hribovje", 1243,"46,19568°N","13,61946°E", vrh, 446320, 84% ,434. mesto,3,0,"Kuk je s 1243 m najvišji vrh Kolovrata, pogorja ki se nahaja od Livka do Kambreškega. Z vrha, na katerem je več oddajnikov, se nam odpre lep razgled na Beneško Slovenijo, Matajur, Kanin, Krnsko pogorje, Trnovski gozd in Kolovrat."

Dom na Sviščakih,"Goriško, Notranjsko in Snežniško hribovje", 1242,"45,57423°N","14,40114°E", koča, 345760, 70% ,811. mesto,0,0,"Planinski dom na Sviščakih se nahaja v objemu prostranih snežniških gozdov zahodno od Snežnika. Do Sviščakov lahko pridemo po cesti iz Ilirske Bistrice, iz Mašuna in Cerknice. V bližini doma se nahaja tudi manjši smučarski center."

Koča Antona Bavčerja na Čavnu,"Goriško, Notranjsko in Snežniško hribovje", 1242,"45,92891°N","13,85299°E", koča, 522935, 93% ,187. mesto,7,1,"Koča Antona Bavčerja na Čavnu, se nahaja južno od Malega Modrasovca (1305 m), na nekoliko večjem travniku. Od koče, do katere je možno priti tudi z avtomobilom, zaradi bližnjega gozda ni lepšega razgleda. Z nekaj truda lahko med krošnjami dreves opazimo del Jadranskega morja, sicer pa je lepa razgledna točka le 5 minut hoje stran od koče. Z razgledne točke, pa se nam odpre lep razgled na Vipavsko dolino."

Javornik nad Črnim Vrhom,"Goriško, Notranjsko in Snežniško hribovje", 1240,"45,89589°N","14,07173°E", vrh, 525365, 93% ,181. mesto,8,0,"Javornik je z gozdom poraščen vrh, ki se nahaja jugovzhodno od Črnega Vrha. Na vrhu pa so leta 1972 postavili razgledni stolp, ki sega nad krošnje dreves tako, da se nam z vrha odpre lep razgled. Ob lepem vremenu se vidijo Dolomiti, Karnijske in Julijske Alpe, Karavanke, Kamniško Savinjske Alpe in Snežnik. Med omenjenimi vrhovi pa vidimo Škofjeloško in Cerkljansko hribovje, del ljubljanske kotline, notranjsko hribovje in del Tržaškega zaliva.<br> Vzpon na stolp je v mokrem nevaren za zdrs in je na lastno odgovornost."

Vojkova koča na Nanosu,"Goriško, Notranjsko in Snežniško hribovje", 1240,"45,77204°N","14,05306°E"," vrh, koča", 671472, 99% ,25. mesto,17,1,"Vojkova koča se nahaja na južnem obrobju nanoške planote, v neposredni bližini Pleše, vrha, ki je lepo viden z avtoceste. Od koče oz. Peše se nam odpre lep razgled na Postojnsko kotlino, Javornike, Snežnik, Vremščico, Slavnik, Tržaški zaliv, del Vipavske doline, Čaven in Golake. V bližini koče, ki je odprta v poletni sezoni, ter v zimskem času ob koncih tedna, se nahaja večje število že od daleč vidnih oddajnikov."

Veliki Rob,"Goriško, Notranjsko in Snežniško hribovje", 1237,"45,93438°N","13,80292°E", vrh, 451053, 85% ,417. mesto,9,0,"Veliki Rob je razgleden vrh, ki se nahaja med Kucljem (1237m) in Čavnom (1185m). Z vrha na katerem se nahaja križ je lep razgled na Vipavsko dolino, Trstelj, Tržaški zaliv, Dolomite, Julijske Alpe in bližnji Trnovski gozd. <br>Vrh ima vpisno skrinjico in žig."

Kucelj na Čavnu,"Goriško, Notranjsko in Snežniško hribovje", 1237,"45,92873°N","13,82502°E", vrh, 511369, 92% ,220. mesto,12,0,Kucelj se nahaja na Južnih obronkih Trnovskega gozda severozahodno od Vipavske doline. Z neporaščenega vrha na katerem stoji križ je zelo lep razgled na Primorsko in morje v ozadju. Na drugi strani se vidi Trnovski gozd in nad njim del Julijskih Alp. Vrh je prostran in ima vpisno skrinjico.

Rezinski vrh,"Goriško, Notranjsko in Snežniško hribovje", 1231,"45,68818°N","14,7138°E", vrh, 188983, 47% ,1423. mesto,1,0,"Rezinski vrh je 1231 m visoka gora, ki se nahaja sredi prostranih gozdov Velike gore. Z vrha, ki ima vpisno skrinjico in ob njej žig, zaradi gozda ni razgleda."

Sveti Duh (Hrušica),"Goriško, Notranjsko in Snežniško hribovje", 1221,"45,87179°N","14,06257°E"," vrh, cerkev", 232515, 54% ,1251. mesto,2,0,"Cerkev Svetega Duha se nahaja le nekaj metrov pod istoimenskim vrhom na pobočjih gozdnate Hrušice, pogorja med Colom, Logatcem in Planino. Od cerkve v bližini katere se nahaja vpisna skrinjica z žigom, zaradi gozda ni lepšega razgleda, le ta je omejen le na bližnji Nanos."

Mali Javornik (Javorniki),"Goriško, Notranjsko in Snežniško hribovje", 1219,"45,76421°N","14,27927°E", vrh, 284945, 61% ,1048. mesto,2,0,"Mali Javornik je 1219 m visoka gora, ki se nahaja v grebenu gozdnatega grebena Javornikov. S samega vrha zaradi gozda ni razgleda, je pa malo pod vrhom večji travnik, s katerega se nam odpre pogled proti Snežniku, in Sveti Trojici."

Petelinjek,"Goriško, Notranjsko in Snežniško hribovje", 1212,"45,6782°N","14,5531°E", vrh, 235585, 54% ,1240. mesto,2,0,"Petelinjek je 1212 m visok vrh, ki se nahaja v pogorju Racne gore. Z vrha, na katerem stoji manjši kovinski stol, možic in stara lestev, zaradi gozda ni razgleda."

Grmada (Nanos),"Goriško, Notranjsko in Snežniško hribovje", 1209,"45,77751°N","14,0425°E", vrh, 482145, 88% ,312. mesto,7,0,"Grmada je 1209 m visok vrh, ki se nahaja severozahodno od bolj poznane Pleše. Z vrha, na katerem se nahaja vpisna skrinjica z žigom, se nam odpre lep pogled na del planote Nanos, Golake, Čaven ter ob lepem vremenu na Tržaški zaliv, Dolomite in Julijske Alpe."

Velika Jazbina,"Goriško, Notranjsko in Snežniško hribovje", 1201,"45,6814°N","14,5568°E", vrh, 181748, 47% ,1448. mesto,1,0,"Velika Jazbina je manj znan, deloma prepaden in na eno stran tudi precej razgleden vrh, ki se nahaja v osrčju Racne gore, le ta pa med Loško dolino in Loškim potokom. Z vrha, ki ga večinoma prerašča grmičevje, se nam odpre lep pogled na okoliško hribovje."

Nagnoj,"Goriško, Notranjsko in Snežniško hribovje", 1193,"46,1916°N","13,6336°E", vrh, 247966, 56% ,1192. mesto,2,0,"Nagnoj je s 1193 m drugo najvišji vrh Kolovrata, pogorja ki se nahaja med Tolminom in Beneško Slovenijo. Z vrha, na katerem je vpisna skrinjica in v njej vpisna knjiga in žig, se nam odpre lep pogled na Beneško Slovenijo, Matajur, Kanin, Krnsko pogorje in Kolovrat."

Cerk,"Goriško, Notranjsko in Snežniško hribovje", 1192,"45,5464°N","14,7642°E", vrh, 209571, 50% ,1342. mesto,5,0,"Cerk je s 1192 m najvišji vrh Borovške gore, pogorja, ki se nahaja med dolino reke Kolpe in Goteniškim Snežnikom. Z vrha, ki ima vpisno skrinjico z žigom, se nam med krošnjami dreves odpre nekaj razgleda na okoliško hribovje in na vas Borovec pri Kočevski Reki."

Stanov rob,"Goriško, Notranjsko in Snežniško hribovje", 1191,"46,02082°N","13,81632°E", vrh, 294208, 63% ,1012. mesto,2,0,"Stanov rob je 1191m visok vrh, ki se nahaja na grebenu prepadnih Govc. Z vrha je tako lep pogled po večjem delu Govc, delu Julijskih Alp ter hribovju v porečju reke Idrijce."

Čaven,"Goriško, Notranjsko in Snežniško hribovje", 1185,"45,93387°N","13,79646°E", vrh, 542367, 95% ,141. mesto,3,0,"Čaven je z gozdom poraščen vrh, ki se nahaja zahodno od Velikegaa Roba (1237m). Na vrh, ki ima zelo poznano ime, pa ne vodi nobena markirana pot, pa čeprav le ta vodi le nekaj metrov stran."

Škol,"Goriško, Notranjsko in Snežniško hribovje", 1182,"46,01981°N","13,79177°E", vrh, 343999, 70% ,819. mesto,1,0,"Škol je 1182 m visok vrh, ki se strmo dviga nad Čepovanskim dolom, točneje nad vasjo Lokve na obrobju planote Trnovskega gozda. Z vrha, ki ima vpisno skrinjico in v njej vpisno knjigo ter žig, se nam kljub gozdu odpre nekaj razgleda na Julijske Alpe in okoliško hribovje."

Križna gora (Hrušica),"Goriško, Notranjsko in Snežniško hribovje", 1162,"45,87238°N","14,05385°E", vrh, 299055, 63% ,993. mesto,3,0,"Križna gora je 1162 m visok vrh, ki se nahaja severno od vasi Podkraj. Z vrha na katerem stoji razgledni stolp je lep razgled po večjem delu Slovenije. Ob lepem vremenu lahko tako vidimo del Tržaškega zaliva, Julijce, Karavanke, Kamniško in Savinjske Alpe ter Snežnik. <br>Vrh ima vpisno skrinjico in žig."

Pirnatova koča na Javorniku,"Goriško, Notranjsko in Snežniško hribovje", 1156,"45,89477°N","14,07528°E", koča, 485329, 89% ,303. mesto,6,0,"Pirnatova koča na Javorniku se nahaja na vzhodnih pobočjih omenjenega vrha. V bližini koče je velik travnik s katerega je lep razgled proti vzhodu in jugu, kjer opazimo notranjsko hribovje, proti zahodu vidimo pobočje Javornika, proti severu pa nad gozdom opazimo Kamniško Savinjske Alpe."

Velika ledena jama v Paradani,"Goriško, Notranjsko in Snežniško hribovje", 1140,"45,98868°N","13,84461°E", , 267010, 59% ,1117. mesto,1,0,"Velika ledena jama v Paradani, ki je znana po tem, da so iz nje izrezovali do 40kg težke kose ledu, ki so jih izvažali v Trst, Gorico in celo v Egipt, se nahaja severozahodno od Golakov na planoti Trnovskega gozda. Jama je globoka 385m ter dolga več kot 1500m.<br>Brez jamarske opreme si lahko ogledamo lahko vzhodni del jame."

Racna gora,"Goriško, Notranjsko in Snežniško hribovje", 1140,"45,7085°N","14,5292°E", vrh, 354095, 71% ,781. mesto,2,0,"Racna gora je malo obiskan vrh, ki se dviga vzhodno od Loške doline. Z vrha, ki ima vpisno skrinjico in žig zaradi gozda ni razgleda."

Trinški vrh,"Goriško, Notranjsko in Snežniško hribovje", 1138,"46,1872°N","13,65119°E", vrh, 177279, 46% ,1468. mesto,2,0,"Trinški vrh (ponekod je zapisano tudi ime Trniški vrh) je 1138 m visoka gora, ki se nahaja na neporaščenem delu Kolovrata, točneje med vrhovoma Na gradu in Nagnoj. Z vrha, na katerem stoji tabla, ki označuje vrh, se nam odpre lep razgled na Kolovrat, Matajur, Krnsko pogorje in Beneško Slovenijo."

Špičasti vrh,"Goriško, Notranjsko in Snežniško hribovje", 1128,"45,92694°N","13,99776°E", vrh, 390580, 76% ,642. mesto,3,0,"Špičasti vrh je z gozdom poraščena gora, ki se nahaja južno od vasi Zadlog. Da pa vrh, ne bi bil brez razgleda so na vrhu postavili 13m visok lesen razgledni stolp, ki nam omogoča pogled po večjem delu Slovenije. Ob lepem vremenu lahko tako vidimo Tržaški zaliv, Julijske Alpe in večji del osrednje Slovenije. <br>Vpisna knjiga in žig se nahajata na razglednem stolpu."

Bela stena,"Goriško, Notranjsko in Snežniško hribovje", 1122,"45,69203°N","14,71968°E", vrh, 237508, 54% ,1233. mesto,1,0,"Bela stena (tudi samo Stene) je razgledna točka, ki se nahaja zahodno od Dolenje vasi v ribniški dolini, točneje nad vasjo Zadolje. Z vrha Bele stene, le ta se prepadno spušča, se nam odpre lep razgled na Malo goro, ribniško dolino, ob lepem vremenu pa razgled seže vse do Kamniško Savinjskih Alp. V bližini razgledne točke a se nahaja tudi vpisna skrinjica z vpisno knjigo in žigom."

Krokar,"Goriško, Notranjsko in Snežniško hribovje", 1122,"45,5383°N","14,7695°E", vrh, 290850, 62% ,1023. mesto,2,0,"Krokar je 1122 m visok vrh, ki se nahaja v osrčju istoimenskega pragozda. Z vrha, ki se prepadno spušča proti dolini reke Kolpe, se nam odpre lep razgled na hribovje, ki obdaja zgornji tok reke Kolpe."

Na gradu,"Goriško, Notranjsko in Snežniško hribovje", 1115,"46,1836°N","13,65946°E", vrh, 209622, 50% ,1341. mesto,2,0,"Na gradu je 1115 m visok vrh, ki se nahaja sredi pogorja Kolovrata, točneje na meji med Slovenijo in Italijo. S travnatega vrha, na katerem je vpisna skrinjica z vpisno knjigo in žigom, se nam odpre lep razgled na Matajur, Krnsko pogorje, greben Kolovrata, Idrijsko in Cerkljansko hribovje ter Trnovski gozd.<br>Nekoliko pod vrhom, pa se nahaja muzej na prostem, kjer lahko vidimo številne kaverne, bunkerje in podobno."

Slivnica,"Goriško, Notranjsko in Snežniško hribovje", 1114,"45,79005°N","14,4081°E", vrh, 590727, 97% ,68. mesto,5,1,"Slivnica je 1114 m visok vrh, ki se nahaja severno od Cerkniškega polja. Z vrha, na katerem se nahaja vpisna skrinjica je razgled zaradi bližnjega gozda in oddajnikov precej omejen."

Krim,"Goriško, Notranjsko in Snežniško hribovje", 1107,"45,92856°N","14,47138°E"," vrh, koča", 650556, 99% ,34. mesto,16,3,"Krim je 1107 m visoka gora, ki se dviguje južno od Ljubljanskega barja. Z vrha na katerem stoji planinski dom, ter večje število oddajnikov je lep razgled na del Julijskih Alp, Karavanke, Kamniško Savinjske Alpe in Ljubljansko barje."

Čelkov vrh,"Goriško, Notranjsko in Snežniško hribovje", 1106,"45,91333°N","14,04905°E", vrh, 312025, 65% ,939. mesto,2,0,"Čelkov vrh je 1106m visok vrh, ki se nahaja južno od Črnega vrha. Z vrha, ki ima vpisno skrinjico in žig je lep razgled proti Julijcem, Karavankam, Kamniško Savinjskim Alpam ter bližnjemu hribovju."

Sveta Trojica,"Goriško, Notranjsko in Snežniško hribovje", 1106,"45,72505°N","14,27125°E", vrh, 507699, 91% ,236. mesto,4,3,"Sveta Trojica je razgleden vrh, ki se nahaja jugozahodno od Javornikov. Z vrha na katerem so zgledno ohranjene ruševine nekdanje cerkve je lep razgled po notranjskem hribovju, kjer izstopajo valoviti vrhovi Javornika. Ob lepem vremenu se lepo vidijo Dolomiti, ki jih opazimo med Vremščico in Nanosom, nekoliko bolj desno pa vidimo Julijske Alpe, kjer je najvišji Triglav, proti severu pa opazimo Karavanke. <br> Sveta Trojica pa je znana še po Martinu Krpanu, ki je bil doma s teh krajev."

Velika Milanja,"Goriško, Notranjsko in Snežniško hribovje", 1099,"45,59443°N","14,30967°E", vrh, 217371, 52% ,1311. mesto,1,0,"Velika Milanja je 1099m visok vrh, ki se nahaja vzhodno od Volovje rebri. Z deloma neporaščenega vrha, se nam odpre lep razgled na večji del jugozahodne Slovenije, Dolomite in del Julijskih Alp s predgorjem.<br>Le malo pod vrhom, na nekakšnem predvrhu, pa lahko opazimo manjše naravno okno."

Kršičevec,"Goriško, Notranjsko in Snežniško hribovje", 1091,"45,66523°N","14,33318°E", vrh, 369598, 74% ,715. mesto,3,0,"Kršičevec je manj poznana gora, ki se nahaja vzhodno od vasi Jurišče v Pivški kotlini. S travnatega vrha na katerem se nahaja vpisna skrinjica z žigom in le nekoliko nižje še razgledna plošča, se nam odpre lep razgled po večjem delu Slovenije. Ob lepem vremenu lahko tako vidimo Vremščico, italijanske Dolomite, Nanos, Julijske Alpe s Krnom in Triglavom, del Kamniško Savinjskih Alp, Sveto Trojico, Javornike, Snežnik, Učko in Slavnik."

Baba (pri Javornikih),"Goriško, Notranjsko in Snežniško hribovje", 1085,"45,7535°N","14,274°E", vrh, 2850, 24% ,2059. mesto,2,0,"Baba je 1085 metrov visok vrh, ki se nahaja med grebenom Javornikov in Sveto Trojico. S travnatega vrha, se nam odpre lep pogled na greben Javornikov, Snežnik, Sveto Trojico, Nanos, Pivško in Postojnsko kotlino, ob lepi vidljivosti pa razgled seže vse do Alp."

Razsušica,"Goriško, Notranjsko in Snežniško hribovje", 1083,"45,49388°N","14,0592°E", vrh, 205312, 50% ,1356. mesto,1,0,"Razsušica je s 1083m najvišji vrh slovenske Istre. Ker je vrh deloma poraščen pa se nam z njega odpre lep pogled le proti bližnji Medvižiči, ki je od Razsušice nižja le za 2 metra."

Kameni zid,"Goriško, Notranjsko in Snežniško hribovje", 1081,"45,61291°N","14,73481°E", vrh, 180469, 46% ,1455. mesto,1,0,"Kameni zid so strme skalnate pečine, ki se strmo spuščajo z Goteniške gore. Z vrha Kamenega zidu, se nam odpre lep pogled proti Stojni, Kočevski Reki in Goteniškemu Snežniku, slednji je s 1289m tudi najvišji vrh Goteniške gore."

Medvižica,"Goriško, Notranjsko in Snežniško hribovje", 1081,"45,49525°N","14,06347°E", vrh, 215362, 51% ,1317. mesto,2,0,"Medvižica je skalnat vrh, ki se nahaja na slovenski strani Čičarije. Z neporaščenega vrha je lep razgled po okoliškem hribovju, kjer najlepše vidimo bližnjo Razsušico."

Dom na Slivnici,"Goriško, Notranjsko in Snežniško hribovje", 1078,"45,78973°N","14,40584°E", koča, 465602, 87% ,361. mesto,2,0,"Dom na Slivnici se nahaja le nekaj 10 m pod vrhom 1114 m visoke Slivnice. Od koče se nam odpre lep razgled na greben Javornikov, Cerkniško polje in Cerkniško jezero."

Črni vrh (pri Lokvah),"Goriško, Notranjsko in Snežniško hribovje", 1072,"46,0159°N","13,7815°E", vrh, 604, 13% ,2364. mesto,1,0,"Črni vrh je razgleden vrh nad Čepovanskim dolom, ki se nahaja severozahodno od Lokvi na planoti Trnovskega gozda. Z vrha, na katerem se nahajajo oddajniki, se nam odpre lep pogled proti Čepovanu, ter delu Banjške in Trnovske planote, ob lepi vidljivosti pa razgled seže do Krna, Kanina in drugih vrhov v Julijskih Alpah."

Lašček,"Goriško, Notranjsko in Snežniško hribovje", 1071,"46,079°N","13,773°E", vrh, 330485, 68% ,872. mesto,4,0,"Lašček je s 1071 m najvišji vrh Banjške planote, planote, ki se dviga nad Čepovanskim dolom, dolino reke Soče in dolino reke Idrijce. Z vrha, na katerem je razgledna plošča ter pod njo vpisna skrinjica z vpisno knjigo in žigom, se nam odpre lep razgled proti Trnovskemu gozdu, Matajurju, Krnskem pogorju, Poreznu, Triglavu, ob lepem vremenu pa razgled seže vse do italijanskih Dolomitov"

Bivak Zanuso na Kolovratu,"Goriško, Notranjsko in Snežniško hribovje", 1065,"46,18901°N","13,64211°E"," sedlo, bivak", 169383, 45% ,1498. mesto,2,0,"Bivak Zanuso se nahaja na italijanski strani Kolovrata v neposredni bližini meje s Slovenijo. Od bivaka, ki je sicer brez ležišč, a je dobro opremljen, ima namreč tudi štedilnik, nekaj omar, mizo in klopi, se nam odpre lep pogled na Beneško Slovenijo in okoliško hribovje."

Mokrc,"Goriško, Notranjsko in Snežniško hribovje", 1059,"45,8941°N","14,5268°E", vrh, 308382, 65% ,956. mesto,1,0,"Mokrc na zemljevidih Mokrec je 1059 m visoka gora, ki se nahaja vzhodno od Iškega Vintgarja. Vrh je poraščen z gozdom in zato z njega ni razgleda. <br>Za nekaj razgleda, se je vredno povzpeti na nekaj minut oddaljeno staro vojaško obrambno ploščad, s katere se nam med krošnjami dreves odpre pogled na Krim in na nekaj okoliških vrhov."

Ostrič,"Goriško, Notranjsko in Snežniško hribovje", 1056,"45,49143°N","14,07342°E", vrh, 338401, 69% ,840. mesto,1,1,"Ostrič (na nekaterih zemljevidih označen tudi kot Žabnik) je 1056m visok vrh, ki se nahaja no slovenski strani Čičarije. Z neporaščenega vrha na katerem se nahaja okrogla vpisna skrinjica je lep razgled proti Istri, kjer z višino 1401m izstopa Učka."

Mala gora,"Goriško, Notranjsko in Snežniško hribovje", 1034,"45,92536°N","13,84464°E"," vrh, koča", 445617, 84% ,437. mesto,4,0,"Mala gora je planota na pobočju Čavna. Na višini 1034 metrov je postavljena koča. Mala gora je znana po cvetju, ki je značilno samo za to območje. S planote se vidi Vipavska dolina, goriška ter ob lepem vremenu Jadransko morje."

Bele ovce,"Goriško, Notranjsko in Snežniško hribovje", 1029,"45,59577°N","14,30122°E", vrh, 245031, 56% ,1204. mesto,1,0,"Bele ovce so neporaščen vrh, ki se nahaja vzhodno od Volovje rebri. Z vrha se nam tako ob lepem vremenu odpre čudovit pogled na okoliško hribovje, kraška polja ter v daljavi Dolomite in Julijske Alpe."

